system:index,avg_rad,.geo
00000000000000000000_0,1.3833333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_0,24.2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_0,24.2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_0,24.2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_0,24.2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_0,24.2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_0,24.2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_0,24.2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_0,24.2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_0,24.2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_0,24.2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_0,1.87,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_0,1.7425,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_0,2.6758332,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_0,5.5958333,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_0,5.5958333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_0,0.89416665,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_0,14.871667,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_0,15.64,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_0,2.3216667,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_0,2.3216667,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015_0,2.3216667,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016_0,12.648334,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017_0,7.4383335,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_0,7.4383335,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019_0,3.9275,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a_0,1.6816666,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b_0,4.6425,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_0,4.6425,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d_0,4.6425,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e_0,4.6425,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f_0,4.6425,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_0,4.6425,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021_0,4.6425,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022_0,4.6425,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023_0,4.6425,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024_0,4.6425,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025_0,4.6425,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026_0,4.6425,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027_0,4.6425,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028_0,4.6425,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029_0,4.6425,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a_0,4.6425,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b_0,4.6425,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c_0,4.6425,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d_0,4.6425,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e_0,4.6425,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f_0,4.6425,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030_0,4.6425,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031_0,4.6425,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032_0,1.0458333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033_0,0.5541667,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034_0,1.7033334,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035_0,7.015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036_0,2.0625,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037_0,1.42,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038_0,0.7083333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039_0,0.7083333,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a_0,1.37,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_0,0.8616667,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c_0,0.525,"{""type"":""MultiPoint"",""coordinates"":[]}"
